part_id,date,quantity
ELE001,2026-01-07,4
ELE002,2026-01-07,3
ENG001,2026-01-07,4
ENG002,2026-01-07,4
ENG003,2026-01-07,5
ENG004,2026-01-07,1
FST003,2026-01-07,4
FST004,2026-01-07,3
HYD001,2026-01-07,1
HYD003,2026-01-07,3
HYD004,2026-01-07,2
MNT001,2026-01-07,2
MNT002,2026-01-07,3
MNT003,2026-01-07,3
BRK001,2026-01-08,5
BRK003,2026-01-08,1
ELE001,2026-01-08,4
ELE002,2026-01-08,4
ELE003,2026-01-08,2
ENG001,2026-01-08,5
ENG002,2026-01-08,6
ENG004,2026-01-08,1
FST002,2026-01-08,5
FST003,2026-01-08,6
HYD002,2026-01-08,2
MNT001,2026-01-08,3
MNT002,2026-01-08,3
MNT003,2026-01-08,4
TRN001,2026-01-08,2
TRN003,2026-01-08,1
TRN004,2026-01-08,1
BRK001,2026-01-09,6
BRK003,2026-01-09,2
ELE001,2026-01-09,4
ELE002,2026-01-09,2
ENG001,2026-01-09,3
ENG002,2026-01-09,3
ENG003,2026-01-09,5
FST002,2026-01-09,5
FST003,2026-01-09,4
FST004,2026-01-09,3
HYD001,2026-01-09,1
HYD002,2026-01-09,1
HYD003,2026-01-09,4
MNT001,2026-01-09,4
MNT002,2026-01-09,5
MNT003,2026-01-09,2
TRN003,2026-01-09,2
BRK001,2026-01-10,6
BRK002,2026-01-10,3
BRK003,2026-01-10,1
ELE001,2026-01-10,2
ELE002,2026-01-10,2
ELE003,2026-01-10,1
ENG002,2026-01-10,3
ENG003,2026-01-10,3
FST001,2026-01-10,3
FST002,2026-01-10,6
FST003,2026-01-10,5
FST004,2026-01-10,4
HYD003,2026-01-10,4
HYD004,2026-01-10,3
MNT001,2026-01-10,3
MNT002,2026-01-10,3
MNT003,2026-01-10,2
BRK001,2026-01-11,5
BRK002,2026-01-11,3
BRK003,2026-01-11,1
ELE001,2026-01-11,3
ELE002,2026-01-11,3
ENG001,2026-01-11,3
ENG002,2026-01-11,4
ENG003,2026-01-11,3
FST002,2026-01-11,5
FST003,2026-01-11,8
FST004,2026-01-11,2
HYD001,2026-01-11,2
HYD002,2026-01-11,2
HYD003,2026-01-11,5
HYD004,2026-01-11,1
MNT001,2026-01-11,2
MNT002,2026-01-11,5
MNT003,2026-01-11,4
TRN003,2026-01-11,2
BRK001,2026-01-12,7
BRK002,2026-01-12,5
BRK003,2026-01-12,2
ELE001,2026-01-12,3
ELE002,2026-01-12,3
ENG001,2026-01-12,5
ENG002,2026-01-12,6
ENG003,2026-01-12,4
ENG004,2026-01-12,1
FST001,2026-01-12,4
FST002,2026-01-12,5
FST003,2026-01-12,5
FST004,2026-01-12,3
HYD003,2026-01-12,6
MNT001,2026-01-12,2
MNT002,2026-01-12,5
MNT003,2026-01-12,3
MNT004,2026-01-12,1
TRN003,2026-01-12,1
BRK001,2026-01-13,5
BRK002,2026-01-13,4
BRK003,2026-01-13,2
ELE001,2026-01-13,4
ELE002,2026-01-13,4
ENG001,2026-01-13,3
ENG002,2026-01-13,4
ENG004,2026-01-13,2
FST002,2026-01-13,6
FST003,2026-01-13,6
FST004,2026-01-13,2
HYD004,2026-01-13,2
MNT001,2026-01-13,4
MNT002,2026-01-13,3
MNT003,2026-01-13,4
TRN002,2026-01-13,2
BRK001,2026-01-14,6
BRK002,2026-01-14,3
ELE002,2026-01-14,2
ENG001,2026-01-14,4
ENG002,2026-01-14,3
ENG003,2026-01-14,5
FST001,2026-01-14,4
FST002,2026-01-14,4
FST003,2026-01-14,7
FST004,2026-01-14,4
HYD001,2026-01-14,1
HYD003,2026-01-14,6
HYD004,2026-01-14,3
MNT001,2026-01-14,4
MNT002,2026-01-14,4
MNT003,2026-01-14,3
MNT004,2026-01-14,2
TRN003,2026-01-14,3
BRK001,2026-01-15,5
BRK002,2026-01-15,4
BRK003,2026-01-15,1
ELE001,2026-01-15,4
ELE002,2026-01-15,3
ENG002,2026-01-15,4
FST001,2026-01-15,3
FST002,2026-01-15,4
FST003,2026-01-15,6
FST004,2026-01-15,2
HYD001,2026-01-15,1
HYD002,2026-01-15,2
HYD003,2026-01-15,6
MNT001,2026-01-15,4
MNT002,2026-01-15,5
MNT003,2026-01-15,3
MNT004,2026-01-15,1
BRK001,2026-01-16,5
BRK003,2026-01-16,2
ELE001,2026-01-16,2
ELE002,2026-01-16,4
ENG001,2026-01-16,2
ENG002,2026-01-16,4
ENG003,2026-01-16,5
FST001,2026-01-16,3
FST002,2026-01-16,5
FST003,2026-01-16,6
FST004,2026-01-16,4
HYD003,2026-01-16,6
MNT001,2026-01-16,3
MNT002,2026-01-16,4
MNT003,2026-01-16,2
TRN001,2026-01-16,1
TRN003,2026-01-16,3
BRK001,2026-01-17,5
BRK002,2026-01-17,4
ELE001,2026-01-17,2
ELE002,2026-01-17,4
ENG001,2026-01-17,2
ENG002,2026-01-17,5
ENG003,2026-01-17,4
ENG004,2026-01-17,2
FST001,2026-01-17,4
FST002,2026-01-17,6
FST003,2026-01-17,5
HYD003,2026-01-17,6
MNT001,2026-01-17,2
MNT002,2026-01-17,5
MNT004,2026-01-17,2
TRN001,2026-01-17,1
TRN002,2026-01-17,2
BRK001,2026-01-18,4
BRK002,2026-01-18,5
BRK003,2026-01-18,1
ELE001,2026-01-18,4
ELE002,2026-01-18,3
ENG001,2026-01-18,2
ENG002,2026-01-18,3
ENG003,2026-01-18,3
ENG004,2026-01-18,1
FST001,2026-01-18,5
FST002,2026-01-18,5
FST003,2026-01-18,7
FST004,2026-01-18,3
HYD002,2026-01-18,1
HYD004,2026-01-18,3
MNT001,2026-01-18,2
MNT002,2026-01-18,5
MNT003,2026-01-18,4
TRN002,2026-01-18,1
BRK001,2026-01-19,5
BRK002,2026-01-19,3
BRK003,2026-01-19,2
ELE001,2026-01-19,3
ELE002,2026-01-19,4
ELE003,2026-01-19,2
ELE004,2026-01-19,1
ENG001,2026-01-19,4
ENG002,2026-01-19,4
ENG003,2026-01-19,5
ENG004,2026-01-19,2
FST003,2026-01-19,8
FST004,2026-01-19,4
HYD003,2026-01-19,5
HYD004,2026-01-19,1
MNT001,2026-01-19,2
MNT002,2026-01-19,4
MNT003,2026-01-19,3
BRK001,2026-01-20,7
BRK003,2026-01-20,1
ELE001,2026-01-20,3
ELE002,2026-01-20,3
ENG002,2026-01-20,4
ENG003,2026-01-20,3
FST002,2026-01-20,4
FST003,2026-01-20,7
FST004,2026-01-20,2
HYD001,2026-01-20,1
HYD002,2026-01-20,2
HYD003,2026-01-20,5
MNT001,2026-01-20,3
MNT002,2026-01-20,5
MNT003,2026-01-20,2
BRK001,2026-01-21,5
BRK002,2026-01-21,4
ELE001,2026-01-21,3
ELE002,2026-01-21,3
ELE003,2026-01-21,2
ENG001,2026-01-21,3
ENG002,2026-01-21,6
FST002,2026-01-21,6
FST003,2026-01-21,7
HYD003,2026-01-21,6
HYD004,2026-01-21,2
MNT001,2026-01-21,3
MNT002,2026-01-21,3
MNT003,2026-01-21,3
TRN002,2026-01-21,1
BRK001,2026-01-22,5
BRK002,2026-01-22,4
BRK004,2026-01-22,1
ELE001,2026-01-22,3
ELE002,2026-01-22,3
ENG001,2026-01-22,3
ENG002,2026-01-22,5
ENG003,2026-01-22,4
FST001,2026-01-22,4
FST002,2026-01-22,6
FST003,2026-01-22,6
HYD003,2026-01-22,3
MNT001,2026-01-22,3
MNT002,2026-01-22,5
MNT003,2026-01-22,3
TRN001,2026-01-22,1
BRK001,2026-01-23,5
BRK002,2026-01-23,4
ELE001,2026-01-23,4
ELE002,2026-01-23,3
ENG001,2026-01-23,2
ENG003,2026-01-23,5
FST002,2026-01-23,6
FST003,2026-01-23,6
FST004,2026-01-23,3
HYD003,2026-01-23,4
MNT001,2026-01-23,2
MNT002,2026-01-23,5
MNT003,2026-01-23,2
MNT004,2026-01-23,2
BRK001,2026-01-24,6
BRK002,2026-01-24,4
ELE001,2026-01-24,3
ELE002,2026-01-24,2
ELE003,2026-01-24,2
ENG001,2026-01-24,3
ENG003,2026-01-24,3
ENG004,2026-01-24,1
FST001,2026-01-24,3
FST002,2026-01-24,4
FST003,2026-01-24,6
HYD001,2026-01-24,2
HYD002,2026-01-24,2
HYD003,2026-01-24,3
HYD004,2026-01-24,1
MNT001,2026-01-24,2
MNT002,2026-01-24,5
MNT003,2026-01-24,2
MNT004,2026-01-24,2
BRK001,2026-01-25,4
BRK002,2026-01-25,4
BRK003,2026-01-25,1
ELE001,2026-01-25,4
ELE002,2026-01-25,2
ENG001,2026-01-25,5
ENG002,2026-01-25,6
ENG003,2026-01-25,4
FST001,2026-01-25,3
FST002,2026-01-25,6
FST003,2026-01-25,8
FST004,2026-01-25,3
HYD002,2026-01-25,2
HYD003,2026-01-25,3
MNT001,2026-01-25,3
MNT002,2026-01-25,4
MNT003,2026-01-25,4
BRK001,2026-01-26,5
BRK002,2026-01-26,5
BRK003,2026-01-26,2
ELE001,2026-01-26,4
ELE002,2026-01-26,4
ELE004,2026-01-26,1
ENG001,2026-01-26,2
ENG002,2026-01-26,3
ENG003,2026-01-26,5
ENG004,2026-01-26,2
FST002,2026-01-26,5
FST003,2026-01-26,6
FST004,2026-01-26,3
HYD003,2026-01-26,3
MNT001,2026-01-26,4
MNT002,2026-01-26,4
MNT003,2026-01-26,3
TRN003,2026-01-26,3
TRN004,2026-01-26,1
BRK001,2026-01-27,5
BRK002,2026-01-27,3
BRK003,2026-01-27,2
ELE001,2026-01-27,4
ELE002,2026-01-27,4
ELE003,2026-01-27,1
ENG001,2026-01-27,4
ENG002,2026-01-27,3
ENG003,2026-01-27,4
FST001,2026-01-27,2
FST002,2026-01-27,6
FST003,2026-01-27,6
FST004,2026-01-27,4
HYD002,2026-01-27,2
HYD003,2026-01-27,3
HYD004,2026-01-27,3
MNT001,2026-01-27,4
MNT002,2026-01-27,5
MNT003,2026-01-27,2
TRN001,2026-01-27,2
TRN003,2026-01-27,2
BRK001,2026-01-28,5
BRK003,2026-01-28,2
ELE001,2026-01-28,2
ELE002,2026-01-28,3
ELE003,2026-01-28,1
ENG001,2026-01-28,5
ENG002,2026-01-28,3
FST001,2026-01-28,5
FST002,2026-01-28,6
FST003,2026-01-28,5
FST004,2026-01-28,4
HYD002,2026-01-28,2
HYD003,2026-01-28,3
HYD004,2026-01-28,3
MNT001,2026-01-28,3
MNT002,2026-01-28,4
MNT003,2026-01-28,4
MNT004,2026-01-28,1
TRN002,2026-01-28,1
TRN003,2026-01-28,1
BRK002,2026-01-29,4
ELE001,2026-01-29,4
ELE002,2026-01-29,3
ENG001,2026-01-29,4
ENG002,2026-01-29,6
ENG003,2026-01-29,4
FST001,2026-01-29,4
FST002,2026-01-29,5
FST003,2026-01-29,5
FST004,2026-01-29,2
HYD001,2026-01-29,2
HYD003,2026-01-29,5
MNT001,2026-01-29,2
MNT002,2026-01-29,5
MNT003,2026-01-29,3
TRN003,2026-01-29,3
BRK001,2026-01-30,7
BRK002,2026-01-30,5
BRK003,2026-01-30,1
ELE001,2026-01-30,4
ELE002,2026-01-30,4
ENG001,2026-01-30,4
ENG002,2026-01-30,4
ENG003,2026-01-30,3
ENG004,2026-01-30,2
FST001,2026-01-30,4
FST003,2026-01-30,4
FST004,2026-01-30,2
HYD003,2026-01-30,5
MNT001,2026-01-30,4
MNT002,2026-01-30,4
TRN001,2026-01-30,2
TRN002,2026-01-30,1
BRK002,2026-01-31,5
ELE001,2026-01-31,3
ELE002,2026-01-31,4
ENG001,2026-01-31,4
ENG002,2026-01-31,4
ENG003,2026-01-31,5
FST001,2026-01-31,5
FST002,2026-01-31,5
FST003,2026-01-31,5
HYD001,2026-01-31,2
HYD003,2026-01-31,5
MNT001,2026-01-31,2
MNT002,2026-01-31,3
MNT003,2026-01-31,4
MNT004,2026-01-31,2
TRN001,2026-01-31,2
TRN002,2026-01-31,1
TRN003,2026-01-31,2
BRK001,2026-02-01,6
BRK002,2026-02-01,4
ELE001,2026-02-01,2
ELE002,2026-02-01,3
ENG001,2026-02-01,3
ENG002,2026-02-01,3
ENG003,2026-02-01,5
ENG004,2026-02-01,2
FST002,2026-02-01,5
FST003,2026-02-01,8
FST004,2026-02-01,2
HYD003,2026-02-01,3
MNT001,2026-02-01,3
MNT002,2026-02-01,3
MNT003,2026-02-01,2
TRN003,2026-02-01,1
TRN004,2026-02-01,1
BRK001,2026-02-02,6
BRK002,2026-02-02,5
BRK003,2026-02-02,2
ELE001,2026-02-02,4
ELE002,2026-02-02,2
ENG001,2026-02-02,3
ENG002,2026-02-02,6
ENG003,2026-02-02,3
ENG004,2026-02-02,2
FST001,2026-02-02,3
FST002,2026-02-02,4
FST003,2026-02-02,8
FST004,2026-02-02,3
HYD002,2026-02-02,1
HYD003,2026-02-02,6
MNT001,2026-02-02,2
MNT002,2026-02-02,4
MNT003,2026-02-02,2
TRN002,2026-02-02,1
BRK001,2026-02-03,7
BRK002,2026-02-03,3
ELE001,2026-02-03,4
ELE002,2026-02-03,3
ENG002,2026-02-03,4
ENG003,2026-02-03,3
FST001,2026-02-03,5
FST003,2026-02-03,5
HYD003,2026-02-03,3
MNT001,2026-02-03,4
MNT002,2026-02-03,4
MNT003,2026-02-03,3
TRN002,2026-02-03,1
TRN003,2026-02-03,1
BRK001,2026-02-04,4
BRK002,2026-02-04,4
ELE001,2026-02-04,3
ELE002,2026-02-04,2
ENG001,2026-02-04,5
ENG002,2026-02-04,6
ENG003,2026-02-04,3
ENG004,2026-02-04,1
FST001,2026-02-04,5
FST002,2026-02-04,6
FST003,2026-02-04,8
FST004,2026-02-04,4
HYD003,2026-02-04,6
HYD004,2026-02-04,3
MNT001,2026-02-04,4
MNT002,2026-02-04,4
MNT003,2026-02-04,2
TRN001,2026-02-04,2
TRN003,2026-02-04,1
BRK001,2026-02-05,4
ELE003,2026-02-05,1
ENG001,2026-02-05,5
ENG002,2026-02-05,4
ENG003,2026-02-05,3
FST001,2026-02-05,4
FST002,2026-02-05,5
FST003,2026-02-05,7
FST004,2026-02-05,3
HYD001,2026-02-05,2
HYD002,2026-02-05,2
MNT001,2026-02-05,4
MNT002,2026-02-05,4
MNT003,2026-02-05,4
BRK001,2026-02-06,7
BRK002,2026-02-06,3
BRK003,2026-02-06,2
ELE001,2026-02-06,4
ELE002,2026-02-06,2
ELE003,2026-02-06,1
ENG001,2026-02-06,3
ENG002,2026-02-06,5
ENG003,2026-02-06,5
FST002,2026-02-06,4
FST003,2026-02-06,7
HYD002,2026-02-06,2
HYD003,2026-02-06,6
MNT001,2026-02-06,3
MNT002,2026-02-06,5
MNT003,2026-02-06,3
TRN001,2026-02-06,2
TRN004,2026-02-06,1
BRK001,2026-02-07,7
BRK002,2026-02-07,3
BRK003,2026-02-07,1
ELE001,2026-02-07,3
ELE002,2026-02-07,2
ELE003,2026-02-07,2
ENG001,2026-02-07,5
ENG002,2026-02-07,5
ENG003,2026-02-07,4
ENG004,2026-02-07,1
FST001,2026-02-07,3
FST002,2026-02-07,4
FST003,2026-02-07,5
HYD003,2026-02-07,5
HYD004,2026-02-07,1
MNT001,2026-02-07,4
MNT002,2026-02-07,5
MNT003,2026-02-07,3
BRK001,2026-02-08,6
BRK002,2026-02-08,5
BRK003,2026-02-08,1
BRK004,2026-02-08,1
ELE001,2026-02-08,4
ELE002,2026-02-08,2
ELE003,2026-02-08,2
ENG001,2026-02-08,4
ENG003,2026-02-08,4
ENG004,2026-02-08,1
FST001,2026-02-08,4
FST002,2026-02-08,4
FST004,2026-02-08,4
HYD002,2026-02-08,2
HYD003,2026-02-08,4
MNT001,2026-02-08,3
MNT002,2026-02-08,4
MNT003,2026-02-08,3
TRN003,2026-02-08,2
BRK001,2026-02-09,6
BRK002,2026-02-09,5
BRK003,2026-02-09,1
ELE001,2026-02-09,4
ELE002,2026-02-09,4
ELE003,2026-02-09,2
ENG001,2026-02-09,5
ENG002,2026-02-09,5
ENG003,2026-02-09,3
ENG004,2026-02-09,1
FST002,2026-02-09,6
FST003,2026-02-09,5
HYD002,2026-02-09,2
HYD003,2026-02-09,6
MNT001,2026-02-09,4
MNT002,2026-02-09,4
MNT003,2026-02-09,4
STR002,2026-02-09,1
TRN001,2026-02-09,2
TRN002,2026-02-09,1
TRN003,2026-02-09,1
BRK001,2026-02-10,5
BRK002,2026-02-10,4
ELE001,2026-02-10,4
ELE002,2026-02-10,4
ENG001,2026-02-10,4
ENG002,2026-02-10,5
ENG004,2026-02-10,2
FST001,2026-02-10,5
FST002,2026-02-10,6
FST003,2026-02-10,7
FST004,2026-02-10,2
HYD003,2026-02-10,5
MNT001,2026-02-10,3
MNT002,2026-02-10,3
MNT003,2026-02-10,4
MNT004,2026-02-10,2
TRN002,2026-02-10,2
TRN003,2026-02-10,2
BRK001,2026-02-11,5
BRK002,2026-02-11,5
ELE001,2026-02-11,4
ELE002,2026-02-11,3
ELE003,2026-02-11,2
ENG002,2026-02-11,6
FST001,2026-02-11,4
FST002,2026-02-11,5
FST003,2026-02-11,8
FST004,2026-02-11,2
HYD001,2026-02-11,2
HYD003,2026-02-11,4
HYD004,2026-02-11,1
MNT001,2026-02-11,4
MNT002,2026-02-11,5
MNT003,2026-02-11,2
MNT004,2026-02-11,1
BRK001,2026-02-12,7
BRK002,2026-02-12,3
BRK003,2026-02-12,2
ELE001,2026-02-12,3
ELE002,2026-02-12,4
ELE003,2026-02-12,1
ENG001,2026-02-12,5
ENG002,2026-02-12,6
ENG003,2026-02-12,5
FST001,2026-02-12,5
FST002,2026-02-12,4
FST003,2026-02-12,5
FST004,2026-02-12,2
HYD001,2026-02-12,2
HYD003,2026-02-12,4
MNT001,2026-02-12,2
MNT002,2026-02-12,4
TRN001,2026-02-12,1
TRN003,2026-02-12,2
BRK001,2026-02-13,7
BRK003,2026-02-13,2
BRK004,2026-02-13,1
ELE001,2026-02-13,2
ELE002,2026-02-13,2
ELE003,2026-02-13,1
ENG001,2026-02-13,3
ENG002,2026-02-13,4
ENG003,2026-02-13,3
FST001,2026-02-13,5
FST002,2026-02-13,6
FST003,2026-02-13,8
FST004,2026-02-13,4
HYD003,2026-02-13,3
MNT001,2026-02-13,2
MNT002,2026-02-13,5
MNT003,2026-02-13,3
BRK001,2026-02-14,6
BRK003,2026-02-14,1
ELE001,2026-02-14,3
ELE002,2026-02-14,3
ELE003,2026-02-14,1
ENG002,2026-02-14,6
ENG003,2026-02-14,5
ENG004,2026-02-14,2
FST001,2026-02-14,5
FST002,2026-02-14,4
HYD002,2026-02-14,2
HYD003,2026-02-14,6
MNT001,2026-02-14,4
MNT002,2026-02-14,4
BRK001,2026-02-15,4
BRK002,2026-02-15,5
ELE002,2026-02-15,2
ENG001,2026-02-15,3
ENG002,2026-02-15,3
ENG003,2026-02-15,5
FST002,2026-02-15,4
FST003,2026-02-15,4
FST004,2026-02-15,4
HYD002,2026-02-15,2
HYD003,2026-02-15,5
MNT001,2026-02-15,3
MNT002,2026-02-15,5
MNT003,2026-02-15,2
BRK001,2026-02-16,4
ELE001,2026-02-16,2
ELE002,2026-02-16,3
ENG001,2026-02-16,3
ENG002,2026-02-16,4
ENG003,2026-02-16,4
ENG004,2026-02-16,2
FST001,2026-02-16,2
FST002,2026-02-16,5
FST003,2026-02-16,5
FST004,2026-02-16,4
HYD003,2026-02-16,5
HYD004,2026-02-16,1
MNT001,2026-02-16,2
MNT002,2026-02-16,5
MNT003,2026-02-16,4
MNT004,2026-02-16,2
TRN001,2026-02-16,1
BRK001,2026-02-17,7
BRK002,2026-02-17,5
BRK003,2026-02-17,2
ELE001,2026-02-17,3
ELE002,2026-02-17,2
ELE003,2026-02-17,1
ENG001,2026-02-17,5
ENG003,2026-02-17,3
ENG004,2026-02-17,2
FST001,2026-02-17,5
FST002,2026-02-17,5
FST003,2026-02-17,7
HYD002,2026-02-17,1
HYD003,2026-02-17,6
MNT001,2026-02-17,2
MNT002,2026-02-17,3
MNT003,2026-02-17,4
STR001,2026-02-17,1
BRK001,2026-02-18,7
BRK002,2026-02-18,3
BRK003,2026-02-18,1
ELE001,2026-02-18,2
ELE002,2026-02-18,2
ELE003,2026-02-18,2
ENG001,2026-02-18,2
ENG002,2026-02-18,6
ENG003,2026-02-18,5
ENG004,2026-02-18,2
FST001,2026-02-18,4
FST002,2026-02-18,4
FST003,2026-02-18,8
FST004,2026-02-18,3
HYD002,2026-02-18,2
HYD003,2026-02-18,5
HYD004,2026-02-18,3
MNT001,2026-02-18,3
MNT002,2026-02-18,4
MNT003,2026-02-18,2
TRN002,2026-02-18,1
BRK001,2026-02-19,4
BRK002,2026-02-19,3
BRK003,2026-02-19,2
ELE001,2026-02-19,4
ELE002,2026-02-19,3
ELE003,2026-02-19,2
ENG001,2026-02-19,5
ENG002,2026-02-19,5
ENG003,2026-02-19,4
ENG004,2026-02-19,1
FST001,2026-02-19,3
FST003,2026-02-19,8
FST004,2026-02-19,4
HYD001,2026-02-19,2
MNT001,2026-02-19,3
MNT002,2026-02-19,3
MNT003,2026-02-19,4
BRK001,2026-02-20,5
BRK002,2026-02-20,4
BRK003,2026-02-20,1
ELE001,2026-02-20,4
ELE002,2026-02-20,2
ENG001,2026-02-20,4
ENG002,2026-02-20,6
ENG003,2026-02-20,3
FST001,2026-02-20,5
FST002,2026-02-20,4
FST003,2026-02-20,8
FST004,2026-02-20,4
HYD001,2026-02-20,1
HYD003,2026-02-20,4
MNT001,2026-02-20,4
MNT002,2026-02-20,4
MNT003,2026-02-20,2
MNT004,2026-02-20,2
TRN001,2026-02-20,2
BRK001,2026-02-21,5
BRK002,2026-02-21,4
ELE001,2026-02-21,3
ELE002,2026-02-21,4
ELE003,2026-02-21,2
ENG001,2026-02-21,5
ENG002,2026-02-21,4
ENG003,2026-02-21,5
FST002,2026-02-21,5
FST003,2026-02-21,4
FST004,2026-02-21,3
HYD002,2026-02-21,1
HYD003,2026-02-21,4
HYD004,2026-02-21,3
MNT001,2026-02-21,3
MNT002,2026-02-21,4
MNT003,2026-02-21,4
BRK001,2026-02-22,4
BRK002,2026-02-22,5
ELE001,2026-02-22,2
ELE002,2026-02-22,4
ENG001,2026-02-22,5
ENG002,2026-02-22,4
ENG003,2026-02-22,4
FST001,2026-02-22,2
FST002,2026-02-22,5
FST003,2026-02-22,7
FST004,2026-02-22,2
HYD003,2026-02-22,4
HYD004,2026-02-22,3
MNT001,2026-02-22,3
MNT002,2026-02-22,3
MNT003,2026-02-22,4
MNT004,2026-02-22,1
BRK001,2026-02-23,5
BRK002,2026-02-23,3
ELE001,2026-02-23,4
ELE002,2026-02-23,3
ELE003,2026-02-23,2
ENG001,2026-02-23,4
ENG002,2026-02-23,5
ENG003,2026-02-23,4
FST001,2026-02-23,5
FST002,2026-02-23,4
FST003,2026-02-23,7
FST004,2026-02-23,3
HYD001,2026-02-23,2
HYD003,2026-02-23,3
MNT001,2026-02-23,3
MNT002,2026-02-23,5
MNT003,2026-02-23,4
MNT004,2026-02-23,2
BRK001,2026-02-24,4
BRK002,2026-02-24,4
BRK003,2026-02-24,2
ELE001,2026-02-24,2
ELE002,2026-02-24,3
ENG001,2026-02-24,2
ENG002,2026-02-24,5
ENG003,2026-02-24,5
FST001,2026-02-24,4
FST002,2026-02-24,6
FST003,2026-02-24,5
FST004,2026-02-24,2
HYD003,2026-02-24,3
MNT001,2026-02-24,4
MNT002,2026-02-24,4
MNT003,2026-02-24,2
MNT004,2026-02-24,1
TRN003,2026-02-24,1
BRK001,2026-02-25,5
BRK002,2026-02-25,3
ELE001,2026-02-25,3
ELE002,2026-02-25,3
ELE003,2026-02-25,1
ENG001,2026-02-25,4
ENG002,2026-02-25,6
ENG003,2026-02-25,3
ENG004,2026-02-25,2
FST001,2026-02-25,5
FST002,2026-02-25,6
FST003,2026-02-25,4
FST004,2026-02-25,3
HYD003,2026-02-25,6
MNT001,2026-02-25,3
MNT002,2026-02-25,4
MNT003,2026-02-25,2
TRN002,2026-02-25,1
BRK001,2026-02-26,7
BRK004,2026-02-26,1
ELE002,2026-02-26,4
ENG001,2026-02-26,4
ENG002,2026-02-26,4
ENG003,2026-02-26,4
FST002,2026-02-26,4
FST003,2026-02-26,6
HYD002,2026-02-26,2
HYD003,2026-02-26,5
HYD004,2026-02-26,1
MNT001,2026-02-26,2
MNT002,2026-02-26,5
MNT003,2026-02-26,3
TRN001,2026-02-26,2
BRK001,2026-02-27,4
BRK002,2026-02-27,4
ELE001,2026-02-27,2
ELE002,2026-02-27,4
ENG001,2026-02-27,4
ENG002,2026-02-27,6
ENG003,2026-02-27,4
FST001,2026-02-27,5
FST002,2026-02-27,6
FST003,2026-02-27,7
FST004,2026-02-27,3
HYD001,2026-02-27,2
HYD002,2026-02-27,2
HYD003,2026-02-27,5
MNT001,2026-02-27,4
MNT002,2026-02-27,5
MNT003,2026-02-27,2
